Interval Size;Interval Size;Return Frequency of Peak Duration;Rainfall of Peak Duration;Interval Start Date;Interval Ending on Date
water year = 1957-1958
43;43;0;7.220001;4/1/1964;5/14/1964
44;44;0;7.299999;3/25/1964;5/8/1964
45;45;0;7.490001;4/1/1964;5/16/1964
46;46;0;7.490001;4/1/1964;5/17/1964
47;47;0;7.490001;4/1/1964;5/18/1964
48;48;0;7.490001;4/1/1964;5/19/1964
49;49;0;7.85;3/25/1964;5/13/1964
50;50;0;7.940001;3/25/1964;5/14/1964
51;51;0;7.98;3/24/1964;5/14/1964
52;52;0;8.210001;3/25/1964;5/16/1964
53;53;0;8.250001;3/24/1964;5/16/1964
54;54;0;8.25;3/23/1964;5/16/1964
55;55;0;8.25;3/23/1964;5/17/1964
56;56;0;8.25;3/24/1964;5/19/1964
57;57;0;8.360001;3/20/1964;5/16/1964
58;58;0;8.360001;3/19/1964;5/16/1964
59;59;0;8.36;3/19/1964;5/17/1964
60;60;0;8.360001;3/18/1964;5/17/1964
water year = 1964-1965
1;1;0;1.43;6/1/1965;6/2/1965
2;2;0;1.64;6/1/1965;6/3/1965
3;3;0;1.9;8/24/1965;8/27/1965
4;4;0;1.97;8/24/1965;8/28/1965
5;5;0;1.97;8/23/1965;8/28/1965
6;6;0;2.28;8/25/1965;8/31/1965
7;7;0;2.55;8/24/1965;8/31/1965
8;8;0;2.8;8/25/1965;9/2/1965
9;9;0;3.07;8/24/1965;9/2/1965
10;10;0;3.07;8/23/1965;9/2/1965
11;11;0;3.07;8/24/1965;9/4/1965
12;12;0;3.07;8/21/1965;9/2/1965
13;13;0;3.07;8/21/1965;9/3/1965
14;14;0;3.07;8/21/1965;9/4/1965
15;15;0;3.6;8/16/1965;8/31/1965
16;16;0;3.7;8/16/1965;9/1/1965
17;17;0;4.12;8/16/1965;9/2/1965
18;18;0;4.12;8/15/1965;9/2/1965
19;19;0;4.12;8/14/1965;9/2/1965
20;20;0;4.12;8/16/1965;9/5/1965
21;21;0;4.119999;8/16/1965;9/6/1965
22;22;0;4.12;8/16/1965;9/7/1965
23;23;0;4.119999;8/14/1965;9/6/1965
24;24;0;4.26;8/16/1965;9/9/1965
25;25;0;4.54;8/16/1965;9/10/1965
26;26;0;4.54;8/15/1965;9/10/1965
27;27;0;4.54;8/15/1965;9/11/1965
28;28;0;4.539999;8/14/1965;9/11/1965
29;29;0;4.54;8/13/1965;9/11/1965
30;30;0;5.09;8/16/1965;9/15/1965
31;31;0;5.09;8/16/1965;9/16/1965
32;32;0;5.09;8/14/1965;9/15/1965
33;33;0;5.09;8/16/1965;9/18/1965
34;34;0;5.09;8/12/1965;9/15/1965
35;35;0;5.09;8/16/1965;9/20/1965
36;36;0;5.09;8/11/1965;9/16/1965
37;37;0;5.41;8/16/1965;9/22/1965
38;38;0;5.48;8/16/1965;9/23/1965
39;39;0;5.48;8/16/1965;9/24/1965
40;40;0;5.49;8/6/1965;9/15/1965
41;41;0;5.49;8/5/1965;9/15/1965
42;42;0;5.49;8/6/1965;9/17/1965
43;43;0;5.49;8/5/1965;9/17/1965
44;44;0;5.54;8/9/1965;9/22/1965
45;45;0;5.65;8/16/1965;9/30/1965
46;46;0;5.65;8/15/1965;9/30/1965
47;47;0;5.81;8/6/1965;9/22/1965
48;48;0;5.88;8/6/1965;9/23/1965
49;49;0;5.88;8/5/1965;9/23/1965
50;50;0;5.88;8/4/1965;9/23/1965
51;51;0;5.88;8/3/1965;9/23/1965
52;52;0;5.88;8/3/1965;9/24/1965
53;53;0;5.950001;8/1/1965;9/23/1965
54;54;0;6.000001;7/31/1965;9/23/1965
55;55;0;6.050001;8/6/1965;9/30/1965
