	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
1985	1.16	1.0625	1.558823529	9.351851852	7.544905662	10.97562076	8.559322034	13.70655935	17.04887517	13.62637363	10.81256771	9.065420561	8.162327718	6.912650602	5.777777778	4.8	4.370909091	3.814285714	5.618922114	7.260280822	6.275303644	5.319155585	4.694082237	4.241900648	3.803191489	3.377361635	3.55268595	3.142566191	2.743978916	2.356435644	2.019532207	1.833334375	1.661538462	1.510101515	1.990050731	2.767824497	2.451266741	2.142601731	2.237676056	1.967593056	1.812784932	1.662162162	1.515555354	1.399122894	1.480520779	1.500429213	1.393068802	1.601503759	1.594551443	1.612244648	1.653753027	1.670392526	1.662984747	1.67915808	1.671817248	1.572957382	1.47619161	1.493644926	1.488527997	1.483518681
1986	5.568181818	4	2.711864407	2.15	5.748499552	20.48780428	26.44927536	25.71428571	22.2932341	19.72527473	17.47562297	22.17947115	19.95783456	17.17254158	14.61538462	11.97368421	10.44956543	9.011292373	7.84422114	9.999993151	9.24425776	8.244680851	7.339449541	6.395342377	6.369420382	6.721099246	5.885997522	7.762836186	7.117008444	6.904755952	6.194026861	6.372474004	7.297915704	6.775917893	6.094335671	5.930493274	5.21465782	4.762924922	4.455985915	4.521735198	4.946737068	4.724955008	4.432882187	4.3714801	4.065571311	4.38799026	4.149514793	4.273887739	4.703477216	4.539055768	4.308049536	4.28834959	4.041028022	3.798192771	3.559705731	3.458575906	3.315249267	3.174420565	3.100857349	2.942857143
1987	3.468085106	1.78125	1.382352941	1.342857143	1.431192787	4.234373071	6.525423729	5.277775	4.857140204	7.338709677	6.354992076	5.950155763	5.02297856	4.4	4.981132075	4.540740741	3.970909091	3.885714286	3.347368421	2.827586207	7.152496626	6.449468085	5.504587156	4.857451404	4.537234043	8.165829146	7.496902107	7.457212714	7.840772014	15.13159211	13.83254973	12.04075245	36.68478261	38.30935834	35.35715816	31.38297872	27.46471806	39.07341557	36.19791667	32.32755053	28.51033555	24.88170347	29.6452172	26.92960114	24.19230769	22.66584268	21.15480378	19.65909091	21.34424042	31.85478018	31.73076923	29.45866414	26.26574768	24.11764706	22.65856175	21.21357421	20.65217391	20.42068712	19.65309975	18.67857143
1988	0	2.578947368	1.970588235	2.7	2.30645	1.752212836	1.692307692	3.161763235	2.928571531	3.708333333	3.534693878	2.928	2.345098039	1.901287554	2.301886792	2.17037037	1.963488844	1.677292829	1.518590998	1.788461538	1.68490566	4.792873051	4.496710526	4.144705184	3.707446809	3.283018868	3.583677686	7.57945599	6.996381182	6.130952381	5.369202961	4.813106936	5.854515012	5.575453945	5.132084656	4.714810786	4.373647677	4.040999145	4.086270246	4.182605059	4.17353795	3.986417657	3.67785178	3.376450249	3.131147541	3.073055195	3.112538223	2.88853742	2.645112725	2.429688055	2.218266254	2.033745476	1.92344211	1.983607728	1.868727362	1.779220482	1.929704082	2.062498728	2.603739193	2.985714286
1989	17.6119403	8.8	9.519230769	7.314814815	5.568858941	4.328122925	5.847457627	14.40154031	11.80451624	14.12087912	12.11267606	9.68847352	10	9.021084337	10.76923077	14.09919028	12.0979021	14.73372781	12.19084713	10	8.974358974	7.978723404	7.011795544	6.072351421	5.159235669	6.344221106	12.7837973	11.39285839	9.710494572	8.809517857	8.02042264	11.65326535	9.953810624	9.805640096	16.28492645	14.53489618	12.81559189	11.1262159	14.32038835	13.24865442	16.13204171	18.25709779	17.17933478	16.11945739	14.5	15.66325593	18.18527571	16.70454545	20.10051558	22.22497638	20.85820896	19.39357373	17.94334757	16.50735294	15.08535407	13.67720302	12.2826087	11.76679936	10.39477084	9.625
1990	0	1.8125	1.647058824	1.142857143	0	0	1.692307692	1.314049894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.206666667	1.01147541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.292763158	1.932142857	1.710526316	2.025157233	2.189049587	1.890001667	1.683606557	1.532258065	1.359788889	1.552085938	1.384615385	1.222221212	1.109452402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.338983051	1.275338099	1.165746779	1.362996487	1.463320642	1.401069366	1.29478458	1.291698407	1.677272833	1.714285714
1992	0	0	0	0	0	0	0	1.190083157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	0	0	0	0	0	0	0	0	0	0	0	0	1.164113786	1.300429185	1.178947368	0	0	0	0	0	0	0	1.561818182	1.485714286	1.271929825	1.082758621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	0	1.21875	1.5	1.885714286	1.678898754	1.194689725	0	2.191175	1.94400071	1.558139535	1.785876993	5.327102804	6.860643185	6.460843373	5.259259259	6.938768222	6.556671449	5.40960452	10.5842259	9.863013699	8.839406208	8.57712766	8.322411533	7.428940568	6.496815287	6.469842965	6.071877323	5.19559291	4.671683735	4.257425743	3.923827223	4.263973988	4.053231939	3.707313595	3.842591667	3.645338208	3.317689244	4.629234964	7.636165577	7.841730462	7.722738615	7.076271186	6.756476037	6.442443521	6.18556701	5.652908599	5.436362001	4.942675159	4.679817854	4.515618323	4.354489164	4.426386717	4.565342936	4.430722892	4.253737135	4.124254902	3.887096774	3.654073122	3.425064841	3.2
1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.120878022
1996	0	0	0	0	0	0	1.282051282	1.438016631	1.05599929	0	0	0	0	0	0	0	0	0	0	0	0	1.696296296	1.870909091	1.717857143	1.5	1.289655172	1.289830508	1.156666667	1.011477049	0	0	0	0	0	0	0	1.560385507	1.719045714	1.718308451	1.634259722	1.484016438	1.337839189	1.528888705	2.331676617	2.590163934	2.464286526	2.220258134	1.98997619	2.006309952	1.942856758	1.859565375	1.754191442	1.734017389	1.679156909	1.579151961	1.46982526	1.396825397	1.325355787	1.23316061	1.21978022
1997	53.27868852	42.74193548	46.03174603	67.64705882	77.51196413	64.48601144	48.55076087	40.35714286	32.3943662	51.97368421	65.49479167	58.11862113	47.79119813	50.12632576	46.40522876	40.24545834	34.22733078	28.3459596	23.87536514	21.25	24.68574256	23.52831604	21.27102804	19.05556394	17.56880734	16.51818182	14.40540541	12.59823	15.86726991	14.86842105	13.05039673	11.26577826	9.780600462	12.35906889	11.63408415	9.966373318	9.211700009	8.471410426	7.79956427	7.086328839	6.386317615	6.016949153	7.438766577	7.170598356	6.494845361	5.9066289	5.336427958	5.62007874	5.458966005	4.984367224	4.726006192	7.926977556	7.3764483	6.841155235	7.833825912	7.306790438	6.793760832	6.465228248	6.398418112	7.083333333
1998	1.08	0	0	0	0	0	1.717948718	1.338843242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.096071281	1.856666667	1.913114754	1.725806452	1.550265079	1.536457813	1.384615385	1.222221212	1.184077887	1.029410294	1.067633333	0	1.253521127	1.425926389	2.214775958	2	1.862222483	1.807018167	1.701298701	1.590248328	1.532546097	1.451126566	1.458300354	1.379591682	1.266343826	1.179570303	1.615627679	1.538642857	1.428572752	1.607334757	1.532879819	1.459986425	1.477424054	1.406593407
1999	8.977272727	6.4	6.538461538	4.7	6.916163523	5.406971877	4.409090909	3.955880882	3.314285265	2.583333333	2.391836735	2.128	3.6	4.246153846	5.851851852	4.948148148	9.282639885	9.717514124	8.539638387	9.520547945	10.2571431	9.308510638	8.322411533	11.41666798	9.872611465	9.045226131	10.08108108	9.229828851	9.348618818	10.78948684	15.13613808	13.33238901	12.45735068	16.67135803	15.15363743	13.41362126	17.38472178	15.65561168	13.95631068	18.78339897	17.32504593	15.65457413	18.46973809	19.49330272	19.92307692	18.41837203	21.15480378	21.70454545	20.55277916	20.76248369	21.30597015	19.83912049	18.38669514	19.375	22.54880512	23.61647516	29.86111111	30.90496655	27.82005433	24.89285714
2000	0	0	0	0	0	0	1.564102564	1.239669852	1.391999827	1.046511628	1.307517084	1	0	0	0	0	0	0	1.048923679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.241546377	1.84762	2.369720951	2.121742503	1.908675342	1.756758108	1.688890252	1.570177066	1.779220779	2.220784903	2.02733271	1.889725564	1.767961919	1.661225444	1.54479661	1.430967051	1.319654586	1.210772834	1.104248303	1.000002292	0	0	0	0
2001	1.52	1.3125	1.823529412	1.428571429	4.629030645	6.279066928	5.084745763	4.220586765	3.528570673	2.791666667	3.126530612	15.28847756	13.6354215	11.09147609	9.333340741	8.177849854	6.987087518	6.115819209	6.662037552	6.780821918	9.446693657	9.640950798	8.71559633	7.751937984	6.815286624	5.904522613	5.762081784	4.975560081	6.272617612	5.476190476	4.861326307	4.495184971	4.13878327	3.791744098	3.564816667	3.26142596	2.938628214	2.623885583	2.316901408	2.017392159	1.867579452	1.824324324	1.688888919	1.543859926	1.402598701	1.372113076	1.266272414	1.15037594	1.037159388	0	0	0	0	0	0	1.19480512	1.963718821	1.8750941	1.777200554	1.67032967
2002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	1.36	3.052631579	2.86440678	2.95	2.354837097	1.699115397	1.307692308	1.140496462	1.295999674	1.418604651	1.62642369	1.714285714	3.678431373	3.9	4.188679245	3.874074074	4.007272727	4.278571429	3.978947368	3.448275862	3.876696833	4.592430958	4.825661184	5.23255814	4.888301064	4.446544025	4.11053719	3.723014257	3.31626506	3.514851485	4.18750177	4.177265896	4.880228137	4.607881231	4.787038889	5.369955157	4.915163434	4.81640358	6.764700436	6.22301347	6.546693481	7.288130297	6.703986497	6.078366104	7.216494845	6.617045742	7.984680111	9.114173228	8.513244905	7.977710049	7.410546139	6.90594427	6.827329636	6.299638989	5.786360318	5.330783553	4.920821114	4.940414071	4.70028098	4.485714286
2004	2.446808511	1.15625	0	0	0	3.53124917	2.772727273	2.014704412	3.357142347	2.625	4.514285714	7.040498442	5.788667688	4.784615385	4.716981132	4.133333333	3.570909091	3.028571429	2.505263158	3.862068966	3.40158371	3.122497773	4.266447368	3.820737581	3.484045745	4.037738994	4.544424587	6.540348411	7.53920386	6.666672619	5.899452788	5.147748546	4.709128327	4.354598166	4.009263889	4.797077697	4.563172777	4.228167761	3.901411092	3.582608189	3.271477896	3.222413413	3.098995722	3.252074627	4.114756557	5.145467997	5.486329023	4.96656051	4.703477216	4.445305988	4.191950464	4.932522851	4.679324439	4.430722892	4.208960916	3.968929803	3.73313783	3.5014564	3.316995677	3.135714286
2005	2.255319149	6.1	4.593220339	3.55	2.596772581	1.884956434	3.045454545	2.367645588	1.896000634	1.534883721	1.239179954	1.401785714	1.842450766	1.55794206	1.263157895	1.392561983	1.415821501	1.358565737	1.225048924	1.884615385	1.892454717	1.788888889	2.325657895	2.136069114	1.850878947	3.314465409	3.118801653	2.806517312	2.412650602	2.02970297	3.044921831	2.789982659	2.541825095	2.300188274	1.990050731	2.219378428	2.830325063	2.597147591	2.290492958	2.173916371	1.977169863	1.824324324	1.968891959	1.859649815	1.714285714	1.590248328	1.469146635	1.350877193	1.693640666	3.812492627	3.72755418	3.506139201	3.265953801	3.030120482	3.873139268	3.680468904	3.535190616	3.741282678	3.662817003	3.435714286
2006	0	1.46875	1	1.142857143	1.76146741	2.781250342	6.355932203	4.882351471	4.085712735	3.375	2.840816327	2.248	1.820568928	1.515021459	1.221052632	0	1.192697769	1.079681275	1.616438356	1.480769231	2.044117647	1.788888889	1.561818182	1.342857143	1.131578947	0	1.188135593	1.106665	1.32295082	2.683165347	2.341797518	4.639690751	4.309885932	3.960599474	3.620372222	3.288848263	2.965704002	3.853833203	3.5316875	3.765216726	3.477663641	3.17147708	2.897653609	2.605310945	2.319672131	2.074678571	1.91293526	1.789474937	1.668870218	1.551021408	1.435835351	1.586592413	1.568272978	1.456674473	1.521236881	1.412529636	1.544218821	1.448766177	1.344188944	1.989010989
2007	0	8.7	9.038461538	8.333333333	6.37724169	9.244190103	8.728813559	7.8611	7.595627206	6.048387097	5.404120444	5.015576324	5.022970904	4.4	3.811320755	3.244444444	2.698181818	2.314285714	1.890410959	1.615384615	1.383018868	1.307407407	1.18	2.816414687	2.430851064	4.320754717	4.327479339	3.906313646	3.527108434	3.485148515	3.953124069	3.599234104	3.254752852	5.975600972	5.24528633	4.769652651	4.427796545	4.335119728	4.455985915	4.130436408	3.812718052	3.502546689	3.627518769	3.326701493	3.032786885	2.780847403	2.533764361	2.673566879	2.432178467	2.546872937	2.543345975	2.447856859	2.285712875	2.826809488	2.597017008	2.371302431	2.149562317	2.498546507	2.2795317	2.064285714
2008	3.914893617	4.526315789	3.220338983	3.85	2.887095161	6.802323959	9.406779661	8.277775	8.989072113	7.903225806	6.592709984	5.482866044	4.619607843	4.169230769	7.185185185	6.428571429	5.265423242	5.056497175	4.715789474	4.379310345	3.910633484	3.824053452	3.378289474	3.205183585	3.132978723	2.937106918	2.529958678	2.134419552	1.913116393	3.663366337	3.484377457	3.136806358	2.88403327	2.722329529	2.39815	2.548446069	2.532494104	2.22281838	1.957746479	1.925927778	2.137456304	2.025466893	3.627516252	3.475952736	3.303278689	3.048699675	2.847268176	2.601910828	2.810725893	2.828124622	2.705880031	2.470858445	2.240117994	2.013556476	1.996139381	2.038458495	2.545454545	2.454941729	2.927946686	2.835714286
2009	3.85106383	3.421052632	2.152542373	1.542857143	11.4374893	14.81707949	13.03571429	9.777775	11.4661705	14.94505495	12.11267606	11.28205128	12.68703899	10.15592516	9.62962963	8.61516035	8.708751793	7.598870056	6.45340751	5.753424658	5.465587045	4.792873051	6.815203145	6.718346253	5.796178344	4.949685535	8.488228005	7.579462103	7.418576598	6.726196429	9.375496367	8.588649711	7.990767898	8.605181864	9.603774333	14.28572674	17.50821211	15.77802778	14.32038835	15.65506509	13.98463411	12.57886435	19.29090383	18.32990778	16.69230769	17.6147965	16.81472429	15.34090909	19.648252	22.78747356	24.8880597	23.40349457	22.59849705	25.47169811	29.84381299	28.57136202	25.46296296	29.29454204	28.04871356	25.22727273
